experiment_type,language,task,submetric,control_index,layer_index,metric,value
probe,ja,question_type,None,None,6,recall,1.0
probe,ja,complexity,None,None,6,loss,0.018620254161457222
probe,ja,complexity,None,None,6,mse,0.018545590341091156
probe,ja,complexity,None,None,6,rmse,0.136182195389453
probe,ja,complexity,None,None,6,r2,0.6437551975250244
probe,ko,question_type,None,None,6,loss,0.6470921124730792
probe,ko,question_type,None,None,6,accuracy,0.7181818181818181
probe,ko,question_type,None,None,6,f1,0.7155963302752294
probe,ko,question_type,None,None,6,precision,0.7222222222222222
probe,ko,question_type,None,None,6,recall,0.7090909090909091
probe,ko,complexity,None,None,6,loss,0.03251050811793123
probe,ko,complexity,None,None,6,mse,0.03256898745894432
probe,ko,complexity,None,None,6,rmse,0.18046879912867023
probe,ko,complexity,None,None,6,r2,-0.011273026466369629
probe,ru,question_type,None,None,6,loss,0.5289915161473411
probe,ru,question_type,None,None,6,accuracy,0.9454545454545454
probe,ru,question_type,None,None,6,f1,0.9473684210526315
probe,ru,question_type,None,None,6,precision,0.9152542372881356
probe,ru,question_type,None,None,6,recall,0.9818181818181818
probe,ru,complexity,None,None,6,loss,0.040132056921720505
probe,ru,complexity,None,None,6,mse,0.03991546109318733
probe,ru,complexity,None,None,6,rmse,0.19978854094563916
probe,ru,complexity,None,None,6,r2,-0.009624004364013672
probe,ar,question_type,None,None,7,loss,0.7063897132873536
probe,ar,question_type,None,None,7,accuracy,0.7662337662337663
probe,ar,question_type,None,None,7,f1,0.625
probe,ar,question_type,None,None,7,precision,0.5769230769230769
probe,ar,question_type,None,None,7,recall,0.6818181818181818
probe,ar,complexity,None,None,7,loss,0.03809623531997204
probe,ar,complexity,None,None,7,mse,0.03763638064265251
probe,ar,complexity,None,None,7,rmse,0.1940009810352837
probe,ar,complexity,None,None,7,r2,0.3511655330657959
probe,en,question_type,None,None,7,loss,0.5362144964081901
probe,en,question_type,None,None,7,accuracy,0.9363636363636364
probe,en,question_type,None,None,7,f1,0.9357798165137615
probe,en,question_type,None,None,7,precision,0.9444444444444444
probe,en,question_type,None,None,7,recall,0.9272727272727272
probe,en,complexity,None,None,7,loss,0.03242206733141627
probe,en,complexity,None,None,7,mse,0.032355424016714096
probe,en,complexity,None,None,7,rmse,0.17987613520618598
probe,en,complexity,None,None,7,r2,0.16044139862060547
probe,fi,question_type,None,None,7,loss,0.5315582028457096
probe,fi,question_type,None,None,7,accuracy,0.9363636363636364
probe,fi,question_type,None,None,7,f1,0.9345794392523364
probe,fi,question_type,None,None,7,precision,0.9615384615384616
probe,fi,question_type,None,None,7,recall,0.9090909090909091
probe,fi,complexity,None,None,7,loss,0.030130374910576
probe,fi,complexity,None,None,7,mse,0.030296334996819496
probe,fi,complexity,None,None,7,rmse,0.17405842409035965
probe,fi,complexity,None,None,7,r2,0.2327517867088318
probe,id,question_type,None,None,7,loss,0.5965350696018764
probe,id,question_type,None,None,7,accuracy,0.8090909090909091
probe,id,question_type,None,None,7,f1,0.8141592920353983
probe,id,question_type,None,None,7,precision,0.7931034482758621
probe,id,question_type,None,None,7,recall,0.8363636363636363
probe,id,complexity,None,None,7,loss,0.029779249536139623
probe,id,complexity,None,None,7,mse,0.029681118205189705
probe,id,complexity,None,None,7,rmse,0.172282089043492
probe,id,complexity,None,None,7,r2,0.2720596194267273
probe,ja,question_type,None,None,7,loss,0.6318471332391103
probe,ja,question_type,None,None,7,accuracy,0.717391304347826
probe,ja,question_type,None,None,7,f1,0.796875
probe,ja,question_type,None,None,7,precision,0.6986301369863014
