task,language,experiment_type,test_primary_value_mean,test_primary_value_std,test_primary_value_count,test_mse_mean,test_mse_std,test_mse_count,test_r2_mean,test_r2_std,test_r2_count,test_samples_mean,test_samples_std,test_samples_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_precision_mean,test_precision_std,test_precision_count,test_recall_mean,test_recall_std,test_recall_count,test_f1_mean,test_f1_std,test_f1_count
n_tokens,id,control,0.041102122782830444,0.0030373382500493906,9,0.041102122782830444,0.0030373382500493906,9,-0.39138359385002325,0.10281957047379618,9,110.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,id,main,0.033113807650780036,0.00981738109225624,3,0.033113807650780036,0.00981738109225624,3,-0.12096421244810203,0.3323366790205014,3,110.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,ja,control,0.061143906980276594,0.0017253019961047814,9,0.061143906980276594,0.0017253019961047814,9,-0.024899578783531957,0.02891966471250477,9,92.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,ja,main,0.048926764466810845,0.010737661026254803,3,0.048926764466810845,0.010737661026254803,3,0.17988524499340594,0.17998562418457856,3,92.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,ko,control,0.08074298514187613,0.0021266322951968303,9,0.08074298514187613,0.0021266322951968303,9,-0.9362558895582977,0.05099767242026527,9,110.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,ko,main,0.0707957490168541,0.012590556676943724,3,0.0707957490168541,0.012590556676943724,3,-0.6977163495839226,0.3019276470360058,3,110.0,0.0,3,,,0,,,0,,,0,,,0
n_tokens,ru,control,0.013168376311921186,0.0011487895470988856,9,0.013168376311921186,0.0011487895470988856,9,-0.15761054008787725,0.1009882203062916,9,110.0,0.0,9,,,0,,,0,,,0,,,0
n_tokens,ru,main,0.010671835966837897,0.0031507030797296707,3,0.010671835966837897,0.0031507030797296707,3,0.06185626043230045,0.27697318237181245,3,110.0,0.0,3,,,0,,,0,,,0,,,0
question_type,ar,control,0.5728715728715729,0.11821828402096428,9,,,0,,,0,77.0,0.0,9,0.5728715728715729,0.11821828402096428,9,0.5562358157324919,0.06364417706624553,9,0.5728715728715729,0.11821828402096428,9,0.5478713689189357,0.06140138085478001,9
question_type,ar,main,0.8658008658008658,0.13517311684845015,3,,,0,,,0,77.0,0.0,3,0.8658008658008658,0.13517311684845015,3,0.8024545490710904,0.2544650718420688,3,0.8658008658008658,0.13517311684845015,3,0.8268140589569161,0.20293814662846485,3
question_type,en,control,0.5191919191919192,0.06354611204700238,9,,,0,,,0,110.0,0.0,9,0.5191919191919192,0.06354611204700238,9,0.43600495968496716,0.15280234588195601,9,0.5191919191919192,0.06354611204700238,9,0.46290299551269926,0.1153164743580621,9
question_type,en,main,0.7151515151515152,0.18682500171876784,3,,,0,,,0,110.0,0.0,3,0.7151515151515152,0.18682500171876784,3,0.642520826297422,0.3399676421290663,3,0.7151515151515152,0.18682500171876784,3,0.6581001789951781,0.28165657396497024,3
question_type,fi,control,0.47272727272727266,0.022727272727272735,9,,,0,,,0,110.0,0.0,9,0.47272727272727266,0.022727272727272735,9,0.3888707302705943,0.10460327918138616,9,0.47272727272727266,0.022727272727272735,9,0.41517810137948463,0.06197046386522951,9
question_type,fi,main,0.7393939393939394,0.2077692086839024,3,,,0,,,0,110.0,0.0,3,0.7393939393939394,0.2077692086839024,3,0.6634764415335067,0.3584059203103362,3,0.7393939393939394,0.2077692086839024,3,0.683137670909948,0.30324576889676086,3
question_type,id,control,0.503030303030303,0.05961307749365448,9,,,0,,,0,110.0,0.0,9,0.503030303030303,0.05961307749365448,9,0.41759266458879385,0.14895545455423356,9,0.503030303030303,0.05961307749365448,9,0.43345347976108567,0.10182107176998097,9
question_type,id,main,0.609090909090909,0.09491187735373224,3,,,0,,,0,110.0,0.0,3,0.609090909090909,0.09491187735373224,3,0.5809408619955101,0.2876043279452791,3,0.609090909090909,0.09491187735373224,3,0.5332669782710072,0.17431355312449787,3
question_type,ja,control,0.5362318840579711,0.05010621987659176,9,,,0,,,0,92.0,0.0,9,0.5362318840579711,0.05010621987659176,9,0.4728668113555056,0.08992729476598182,9,0.5362318840579711,0.05010621987659176,9,0.483514588770385,0.03299709958587291,9
question_type,ja,main,0.6268115942028986,0.025102185616940224,3,,,0,,,0,92.0,0.0,3,0.6268115942028986,0.025102185616940224,3,0.5463104576407979,0.16360771617522402,3,0.6268115942028986,0.025102185616940224,3,0.5597510537118868,0.10037883015666622,3
question_type,ko,control,0.4868686868686869,0.03859920970562725,9,,,0,,,0,110.0,0.0,9,0.4868686868686869,0.03859920970562725,9,0.3990852390028932,0.11960866991676597,9,0.4868686868686869,0.03859920970562725,9,0.41953368581594686,0.07994157883324479,9
question_type,ko,main,0.6333333333333333,0.12106051124507991,3,,,0,,,0,110.0,0.0,3,0.6333333333333333,0.12106051124507991,3,0.5590452847805789,0.270156754900855,3,0.6333333333333333,0.12106051124507991,3,0.5744085920946024,0.21215082741041025,3
question_type,ru,control,0.4848484848484848,0.07964279758152375,9,,,0,,,0,110.0,0.0,9,0.4848484848484848,0.07964279758152375,9,0.3998528287004171,0.13962246839820408,9,0.4848484848484848,0.07964279758152375,9,0.425691397815754,0.10695862465045432,9
question_type,ru,main,0.712121212121212,0.18924236358783023,3,,,0,,,0,110.0,0.0,3,0.712121212121212,0.18924236358783023,3,0.6622023809523809,0.35782115646927143,3,0.712121212121212,0.18924236358783023,3,0.6515781829300921,0.2801698851179166,3
