language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
id,0.019750302657485,0.0418473631143569,0.0405586659908294,0.0400105901062488,0.040805539737145034,0.021055237079660033,51.59896723653328,complexity,XGBRegressor,mse,test,complexity,overall
ja,0.0282608270645141,0.057965837419033,0.0604071915149688,0.0607750788331031,0.0597160359223683,0.0314552088578542,52.67464320429176,complexity,XGBRegressor,mse,test,complexity,overall
ko,0.0156495179980993,0.0361475422978401,0.0369026735424995,0.0378310903906822,0.0369604354103406,0.021310917412241302,57.658729329468464,complexity,XGBRegressor,mse,test,complexity,overall
ru,0.0242598485201597,0.0592613965272903,0.0608148574829101,0.0601358115673065,0.060070688525835636,0.035810840005675935,59.61449899192374,complexity,XGBRegressor,mse,test,complexity,overall
ar,0.0673727840185165,0.0674134567379951,0.0689187198877334,0.0676986053586006,0.06801026066144304,0.0006374766429265433,0.9373242165618504,single_submetric,XGBRegressor,mse,test,lexical_density,overall
en,0.0282840505242347,0.0339854583144187,0.0311514325439929,0.031054563820362,0.03206381822625787,0.0037797677020231686,11.7882645022227,single_submetric,XGBRegressor,mse,test,lexical_density,overall
fi,0.0575177185237407,0.05014568567276,0.0569185763597488,0.0565834492444992,0.054549237092336,-0.0029684814314046987,-5.44183858406658,single_submetric,XGBRegressor,mse,test,lexical_density,overall
id,0.0398102588951587,0.0617268532514572,0.0735984221100807,0.0600566416978836,0.06512730568647383,0.025317046791315134,38.87316775116214,single_submetric,XGBRegressor,mse,test,lexical_density,overall
ja,0.077939473092556,0.0636532083153724,0.0644390136003494,0.0678594186902046,0.0653172135353088,-0.012622259557247203,-19.324553014534118,single_submetric,XGBRegressor,mse,test,lexical_density,overall
ko,0.0626168400049209,0.0810392647981643,0.0793768763542175,0.0794556438922882,0.07995726168155666,0.017340421676635756,21.687112980052923,single_submetric,XGBRegressor,mse,test,lexical_density,overall
ru,0.0518310517072677,0.0603289566934108,0.0597748979926109,0.0615767985582351,0.0605602177480856,0.008729166040817901,14.414026840406866,single_submetric,XGBRegressor,mse,test,lexical_density,overall
ar,0.10744109749794,0.1229071542620658,0.1257248520851135,0.1239289864897728,0.12418699761231737,0.016745900114377377,13.4844230365035,single_submetric,XGBRegressor,mse,test,avg_verb_edges,overall
en,0.050181571394205,0.0667194575071334,0.0607675164937973,0.0640795156359672,0.06385549654563263,0.01367392515142763,21.413857680451866,single_submetric,XGBRegressor,mse,test,avg_verb_edges,overall
fi,0.0664499998092651,0.0822582095861435,0.0830441415309906,0.0890615209937095,0.0847879573702812,0.01833795756101611,21.628021395693743,single_submetric,XGBRegressor,mse,test,avg_verb_edges,overall
id,0.0773122534155845,0.0700950175523758,0.0740941017866134,0.0747929140925407,0.0729940111438433,-0.004318242271741199,-5.915885706337734,single_submetric,XGBRegressor,mse,test,avg_verb_edges,overall
ja,0.0968089178204536,0.1080954894423484,0.1070510894060134,0.112199068069458,0.10911521563927327,0.012306297818819673,11.27826009115298,single_submetric,XGBRegressor,mse,test,avg_verb_edges,overall
