language,real,control1,control2,control3,control_mean,selectivity,normalized_selectivity,task,model_type,metric,split,submetric,layer
fi,0.0145329849322847,0.0169102338603093,0.0198974833192018,0.018038100323091,0.018281939167534,0.0037489542352493,20.506327041646177,single_submetric,Ridge,mse,test,n_tokens,
id,0.0220306895665391,0.0358195630748672,0.033899262143861,0.0354499602559166,0.0350562618248816,0.0130255722583425,37.15619287478464,single_submetric,Ridge,mse,test,n_tokens,
ja,0.0348731746475535,0.059211942460617,0.0598445372404404,0.0639172946414835,0.0609912581141803,0.0261180834666268,42.82266717261637,single_submetric,Ridge,mse,test,n_tokens,
ko,0.0462046010926254,0.0702004679483795,0.0720852173903895,0.0718375157995107,0.0713744003794265,0.0251697992868011,35.26446338322764,single_submetric,Ridge,mse,test,n_tokens,
ru,0.0116103156783622,0.0158543746890705,0.0151759654951289,0.0157510107715439,0.0155937836519144,0.0039834679735522,25.545230474344745,single_submetric,Ridge,mse,test,n_tokens,
ar,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,0.078075423836708,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
en,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0232008695602417,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
fi,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0222799722105264,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
id,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0297929048538208,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
ja,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0743818506598472,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
ko,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,0.046861432492733,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
ru,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0168121345341205,0.0,0.0,single_submetric,DummyRegressor,mse,test,n_tokens,
ar,0.987012987012987,0.5194805194805194,0.4545454545454545,0.5844155844155844,0.5194805194805194,0.4675324675324676,90.00000000000001,question_type,LogisticRegression,accuracy,test,overall,
en,0.7909090909090909,0.509090909090909,0.4272727272727272,0.5727272727272728,0.503030303030303,0.2878787878787878,57.22891566265059,question_type,LogisticRegression,accuracy,test,overall,
fi,0.8454545454545455,0.4727272727272727,0.4454545454545454,0.4090909090909091,0.4424242424242424,0.403030303030303,91.09589041095892,question_type,LogisticRegression,accuracy,test,overall,
