language,task,submetric,model_type,layer,metric,real,control1,control2,control3,control_mean,split
ar,single_submetric,avg_max_depth,probe,layer1,rmse,0.1808665094966389,0.249535128396695,0.2444298366329513,0.2489263681948818,0.24763044440817603,test
ar,single_submetric,avg_max_depth,probe,layer1,r2,0.3367304801940918,-0.2625166177749634,-0.2113847732543945,-0.256364107131958,-0.24342183272043863,test
ar,single_submetric,avg_subordinate_chain_len,probe,layer1,loss,0.0736611805856227,0.0878717146813869,0.0859470203518867,0.0795179262757301,0.08444555376966789,test
ar,single_submetric,avg_subordinate_chain_len,probe,layer1,mse,0.0736229494214057,0.0877946466207504,0.0858133286237716,0.0794748067855835,0.08436092734336849,test
ar,single_submetric,avg_subordinate_chain_len,probe,layer1,rmse,0.271335492373198,0.2963016142729405,0.2929391210196611,0.2819127644956565,0.29038449992941934,test
ar,single_submetric,avg_subordinate_chain_len,probe,layer1,r2,-0.3330518007278442,-0.5896511077880859,-0.5537765026092529,-0.4390082359313965,-0.5274786154429117,test
ar,single_submetric,avg_verb_edges,probe,layer1,loss,0.1015897870063781,0.1277506038546562,0.1301208645105362,0.1381644770503044,0.1320119818051656,test
ar,single_submetric,avg_verb_edges,probe,layer1,mse,0.1025013029575347,0.1285888850688934,0.1308779269456863,0.138907253742218,0.1327913552522659,test
ar,single_submetric,avg_verb_edges,probe,layer1,rmse,0.3201582467429736,0.3585929238968519,0.3617705446076094,0.3727026344717971,0.36435536765875276,test
ar,single_submetric,avg_verb_edges,probe,layer1,r2,-0.4850977659225464,-0.8630697727203369,-0.8962347507476807,-1.0125679969787598,-0.9239575068155924,test
ar,single_submetric,lexical_density,probe,layer1,loss,0.0585789419710636,0.0646887667477131,0.0613050140440464,0.0668820723891258,0.0642919510602951,test
ar,single_submetric,lexical_density,probe,layer1,mse,0.0579299628734588,0.0643702521920204,0.06084556132555,0.0662910044193267,0.0638356059789657,test
ar,single_submetric,lexical_density,probe,layer1,rmse,0.240686440983822,0.2537129326463679,0.2466689306044644,0.2574703952289016,0.2526174194932446,test
ar,single_submetric,lexical_density,probe,layer1,r2,0.0017315745353698,-0.1092497110366821,-0.0485110282897949,-0.1423487663269043,-0.10003650188446044,test
ar,single_submetric,n_tokens,probe,layer1,loss,0.043285821378231,0.0909349501132965,0.0867900483310222,0.0926488734781742,0.0901246239741643,test
ar,single_submetric,n_tokens,probe,layer1,mse,0.0423019863665103,0.0893126875162124,0.0850839763879776,0.0909604653716087,0.08845237642526622,test
