model_type,language,task,submetric,control_index,layer_index,metric,value
XGBRegressor,ru,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0543080729742844
Ridge,ru,single_submetric,avg_subordinate_chain_len,,,mse,0.0318440036548939
Ridge,ru,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0556710387151653
DummyRegressor,ru,single_submetric,avg_subordinate_chain_len,,,mse,0.0441038534045219
DummyRegressor,ru,single_submetric,avg_subordinate_chain_len,mean_control,,mse,0.0441038534045219
XGBRegressor,ru,single_submetric,avg_verb_edges,,,mse,0.0454679317772388
XGBRegressor,ru,single_submetric,avg_verb_edges,mean_control,,mse,0.0483354615668455
Ridge,ru,single_submetric,avg_verb_edges,,,mse,0.0419691869629715
Ridge,ru,single_submetric,avg_verb_edges,mean_control,,mse,0.0511742434416871
DummyRegressor,ru,single_submetric,avg_verb_edges,,,mse,0.0527771338820457
DummyRegressor,ru,single_submetric,avg_verb_edges,mean_control,,mse,0.0527771338820457
XGBRegressor,ru,single_submetric,lexical_density,,,mse,0.0518310517072677
XGBRegressor,ru,single_submetric,lexical_density,mean_control,,mse,0.0605602177480856
DummyRegressor,ru,single_submetric,lexical_density,,,mse,0.0451964437961578
DummyRegressor,ru,single_submetric,lexical_density,mean_control,,mse,0.0451964437961578
Ridge,ru,single_submetric,lexical_density,,,mse,0.0430950803586705
Ridge,ru,single_submetric,lexical_density,mean_control,,mse,0.0644554751352028
XGBRegressor,ru,single_submetric,n_tokens,,,mse,0.0089824656024575
XGBRegressor,ru,single_submetric,n_tokens,mean_control,,mse,0.0148395833869774
Ridge,ru,single_submetric,n_tokens,,,mse,0.0116103156783622
Ridge,ru,single_submetric,n_tokens,mean_control,,mse,0.0155937836519144
DummyRegressor,ru,single_submetric,n_tokens,,,mse,0.0168121345341205
DummyRegressor,ru,single_submetric,n_tokens,mean_control,,mse,0.0168121345341205
